Bette Davis
Cary Grant
Humphrey Bogart
Katharine Hepburn
Marilyn Monroe
Orson Welles
Vivien Leigh
John Wayne
Ingrid Bergman
William Holden
Rita Hayworth
James Stewart
James Dean
Rock Hudson
Tony Curtis
Elvis Presley
Burt Lancaster
Frank Sinatra
Deborah Kerr
Elizabeth Taylor
Susan Hayward
Lana Turner
Omar Sharif
Natalie Wood
Doris Day
Sean Connery
#####
